3721717335386993399|5843726283463284777|-6055095049053768600|Completed|15|5|17.06.2023 23:23|-5119945838736511926|2607.0
4454755646928925127|1256823475655703946|-6055095049053768600|Completed|12|2|22.06.2023|8609129883742012306|228.0
-4473593248758850430|9827348972048742|-6055095049053768600|Completed|14|2|31.08.2023|-4594006276798943241|756.0
-7974642979581227151|123456789|-6055095049053768600|Completed|17|7|27.06.2023|4822319917545093127|3222.639
2285239772032915699|234345456634534|-6055095049053768600|Completed|10|3|18.07.2023|7060147540388220127|1200.0
6471490389945093681|1256823475655703946|-6055095049053768600|Created|7|2|22.06.2023|4822319917545093127|950.0
6874802335745784174|123456789|-6055095049053768600|Completed|10|1|14.06.2023|8609129883742012306|270.81
6455466812157842017|5843726283463284777|-6055095049053768600|Completed|20|2|15.08.2023|4822319917545093127|1390.4
-4399803775775591726|5843726283463284777|-6055095049053768600|Completed|7|1|23.08.2023|-4594006276798943241|243.32
5522938052148998467|5843726283463284777|-6055095049053768600|Completed|5|5|15.08.2023|2158960479894006266|869.0
-1392577603360403805|5527834723847239|-6055095049053768600|Completed|10|3|30.06.2023|7060147540388220127|1122.0
3256324770669426732|1256823475655703946|-6055095049053768600|Completed|10|2|30.06.2023|4822319917545093127|190.0
8421547056013568343|1256823475655703946|-6055095049053768600|Created|1|1|07.06.2023|4822319917545093127|9.5
-482270517578396362|1256823475655703946|8800862720627335799|Completed|15|3|03.07.2023|-4594006276798943241|427.5
-3409775815129876008|96298473827432|8800862720627335799|Canceled|7|20|30.06.2023|4822319917545093127|612.0
